"id","ball_num","base_num","subseq_num","frequency"
4834,6,35,30,1
4835,6,35,32,1
4836,6,35,33,1
4837,6,35,34,2
4838,6,35,35,1
4839,6,35,36,2
4840,6,35,37,1
4841,6,35,39,4
4842,6,35,40,3
4843,6,35,41,1
4844,6,35,42,5
4845,6,35,43,5
4846,6,35,44,3
4847,6,35,45,3
4848,6,35,46,11
4849,6,35,47,10
4850,6,35,48,9
4851,6,35,49,14
4852,6,36,25,1
4853,6,36,30,1
4854,6,36,31,1
4855,6,36,32,1
4856,6,36,36,2
4857,6,36,37,4
4858,6,36,38,3
4859,6,36,40,5
4860,6,36,41,6
4861,6,36,42,2
4862,6,36,43,8
4863,6,36,44,8
4864,6,36,45,10
4865,6,36,46,12
4866,6,36,47,11
4867,6,36,48,13
4868,6,36,49,6
4869,6,37,27,2
4870,6,37,28,1
4871,6,37,30,1
4872,6,37,32,1
4873,6,37,35,1
4874,6,37,36,2
4875,6,37,37,2
4876,6,37,38,3
4877,6,37,39,4
4878,6,37,40,4
4879,6,37,41,6
4880,6,37,42,2
4881,6,37,43,6
4882,6,37,44,7
4883,6,37,45,12
4884,6,37,46,8
4885,6,37,47,9
4886,6,37,48,14
4887,6,37,49,10
4888,6,38,20,1
4889,6,38,25,1
4890,6,38,26,1
4891,6,38,27,1
4892,6,38,28,1
4893,6,38,29,1
4894,6,38,31,1
4895,6,38,32,1
4896,6,38,33,3
4897,6,38,34,1
4898,6,38,36,3
4899,6,38,37,4
4900,6,38,38,6
4901,6,38,39,5
4902,6,38,40,3
4903,6,38,41,5
4904,6,38,42,6
4905,6,38,43,9
4906,6,38,44,5
4907,6,38,45,7
4908,6,38,46,11
4909,6,38,47,9
4910,6,38,48,17
4911,6,38,49,15
4912,6,39,22,1
4913,6,39,27,1
4914,6,39,28,3
4915,6,39,32,3
4916,6,39,33,1
4917,6,39,35,5
4918,6,39,36,3
4919,6,39,37,3
4920,6,39,38,4
4921,6,39,39,3
4922,6,39,40,5
4923,6,39,41,2
4924,6,39,42,6
4925,6,39,43,13
4926,6,39,44,12
4927,6,39,45,10
4928,6,39,46,12
4929,6,39,47,17
4930,6,39,48,10
4931,6,39,49,26
4932,6,40,23,1
4933,6,40,27,1
4934,6,40,28,1
4935,6,40,30,5
4936,6,40,31,5
4937,6,40,33,4
4938,6,40,34,1
4939,6,40,35,3
4940,6,40,36,5
4941,6,40,37,4
4942,6,40,38,6
4943,6,40,39,7
4944,6,40,40,4
4945,6,40,41,8
4946,6,40,42,10
4947,6,40,43,11
4948,6,40,44,17
4949,6,40,45,10
4950,6,40,46,13
4951,6,40,47,20
4952,6,40,48,21
4953,6,40,49,15
4954,6,41,23,1
4955,6,41,25,1
4956,6,41,28,3
4957,6,41,31,1
4958,6,41,32,1
4959,6,41,33,1
4960,6,41,34,8
4961,6,41,35,3
4962,6,41,36,5
4963,6,41,37,1
4964,6,41,38,4
4965,6,41,39,6
4966,6,41,40,14
4967,6,41,41,16
4968,6,41,42,19
4969,6,41,43,7
4970,6,41,44,9
4971,6,41,45,13
4972,6,41,46,16
4973,6,41,47,14
4974,6,41,48,20
4975,6,41,49,15
4976,6,42,21,1
4977,6,42,23,1
4978,6,42,24,1
4979,6,42,26,1
4980,6,42,27,2
4981,6,42,28,2
4982,6,42,29,3
4983,6,42,30,3
4984,6,42,31,3
4985,6,42,32,6
4986,6,42,33,2
4987,6,42,34,4
4988,6,42,35,3
4989,6,42,36,2
4990,6,42,37,3
4991,6,42,38,2
4992,6,42,39,7
4993,6,42,40,10
4994,6,42,41,5
4995,6,42,42,13
4996,6,42,43,20
4997,6,42,44,17
4998,6,42,45,27
4999,6,42,46,18
5000,6,42,47,21
5001,6,42,48,23
5002,6,42,49,22
5003,6,43,19,1
5004,6,43,21,2
5005,6,43,24,1
5006,6,43,26,1
5007,6,43,27,4
5008,6,43,28,1
5009,6,43,29,2
5010,6,43,31,2
5011,6,43,32,2
5012,6,43,33,5
5013,6,43,34,4
5014,6,43,35,7
5015,6,43,36,5
5016,6,43,37,3
5017,6,43,38,8
5018,6,43,39,12
5019,6,43,40,7
5020,6,43,41,15
5021,6,43,42,17
5022,6,43,43,16
5023,6,43,44,25
5024,6,43,45,21
5025,6,43,46,18
5026,6,43,47,34
5027,6,43,48,26
5028,6,43,49,32
5029,6,44,20,1
5030,6,44,25,1
5031,6,44,26,1
5032,6,44,27,3
5033,6,44,28,2
5034,6,44,29,2
5035,6,44,30,2
5036,6,44,31,3
5037,6,44,32,3
5038,6,44,33,6
5039,6,44,34,9
5040,6,44,35,8
5041,6,44,36,9
5042,6,44,37,10
5043,6,44,38,4
5044,6,44,39,5
5045,6,44,40,20
5046,6,44,41,9
5047,6,44,42,13
5048,6,44,43,14
5049,6,44,44,24
5050,6,44,45,30
5051,6,44,46,28
5052,6,44,47,28
5053,6,44,48,24
5054,6,44,49,37
5055,6,45,20,1
5056,6,45,24,1
5057,6,45,25,1
5058,6,45,26,1
5059,6,45,27,2
5060,6,45,28,1
5061,6,45,29,1
5062,6,45,31,4
5063,6,45,32,6
5064,6,45,33,3
5065,6,45,34,3
5066,6,45,35,11
5067,6,45,36,5
5068,6,45,37,6
5069,6,45,38,11
5070,6,45,39,11
5071,6,45,40,17
5072,6,45,41,19
5073,6,45,42,27
5074,6,45,43,28
5075,6,45,44,25
5076,6,45,45,31
5077,6,45,46,25
5078,6,45,47,36
5079,6,45,48,36
5080,6,45,49,40
5081,6,46,28,1
5082,6,46,29,3
5083,6,46,30,3
5084,6,46,31,8
5085,6,46,32,1
5086,6,46,33,3
5087,6,46,34,2
5088,6,46,35,6
5089,6,46,36,6
5090,6,46,37,5
5091,6,46,38,12
5092,6,46,39,18
5093,6,46,40,16
5094,6,46,41,17
5095,6,46,42,17
5096,6,46,43,16
5097,6,46,44,29
5098,6,46,45,27
5099,6,46,46,31
5100,6,46,47,37
5101,6,46,48,50
5102,6,46,49,50
5103,6,47,16,1
5104,6,47,18,1
5105,6,47,24,1
5106,6,47,25,1
5107,6,47,27,2
5108,6,47,28,1
5109,6,47,29,3
5110,6,47,30,4
5111,6,47,31,7
5112,6,47,32,3
5113,6,47,33,5
5114,6,47,34,8
5115,6,47,35,9
5116,6,47,36,15
5117,6,47,37,11
5118,6,47,38,8
5119,6,47,39,18
5120,6,47,40,17
5121,6,47,41,15
5122,6,47,42,21
5123,6,47,43,34
5124,6,47,44,26
5125,6,47,45,39
5126,6,47,46,42
5127,6,47,47,44
5128,6,47,48,43
5129,6,47,49,51
5130,6,48,23,2
5131,6,48,24,1
5132,6,48,26,2
5133,6,48,27,1
5134,6,48,28,4
5135,6,48,29,5
5136,6,48,30,2
5137,6,48,31,2
5138,6,48,32,8
5139,6,48,33,6
5140,6,48,34,3
5141,6,48,35,15
5142,6,48,36,12
5143,6,48,37,11
5144,6,48,38,16
5145,6,48,39,11
5146,6,48,40,17
5147,6,48,41,22
5148,6,48,42,16
5149,6,48,43,27
5150,6,48,44,28
5151,6,48,45,36
5152,6,48,46,32
5153,6,48,47,51
5154,6,48,48,50
5155,6,48,49,65
5156,6,49,19,2
5157,6,49,20,1
5158,6,49,21,1
5159,6,49,23,1
5160,6,49,25,1
5161,6,49,26,4
5162,6,49,27,1
5163,6,49,28,4
5164,6,49,29,6
5165,6,49,30,4
5166,6,49,31,5
5167,6,49,32,5
5168,6,49,33,11
5169,6,49,34,4
5170,6,49,35,8
5171,6,49,36,6
5172,6,49,37,15
5173,6,49,38,15
5174,6,49,39,19
5175,6,49,40,24
5176,6,49,41,22
5177,6,49,42,29
5178,6,49,43,27
5179,6,49,44,29
5180,6,49,45,41
5181,6,49,46,49
5182,6,49,47,47
5183,6,49,48,59
5184,6,49,49,76
5185,7,1,1,1
5186,7,1,3,2
5187,7,1,4,2
5188,7,1,5,3
5189,7,1,6,1
5190,7,1,7,2
5191,7,1,9,2
5192,7,1,10,2
5193,7,1,11,5
5194,7,1,13,5
5195,7,1,14,1
5196,7,1,16,1
5197,7,1,17,2
5198,7,1,18,4
5199,7,1,19,4
5200,7,1,22,1
5201,7,1,23,2
5202,7,1,24,5
5203,7,1,25,3
5204,7,1,27,1
5205,7,1,29,1
5206,7,1,30,2
5207,7,1,32,1
5208,7,1,33,1
5209,7,1,35,3
5210,7,1,37,1
5211,7,1,38,1
5212,7,1,39,2
5213,7,1,41,3
5214,7,1,43,2
5215,7,1,45,2
5216,7,1,46,1
5217,7,1,47,3
5218,7,1,48,1
5219,7,1,49,2
5220,7,2,1,1
5221,7,2,2,2
5222,7,2,3,2
5223,7,2,5,4
5224,7,2,6,1
5225,7,2,7,1
5226,7,2,10,2
5227,7,2,11,2
5228,7,2,14,1
5229,7,2,15,3
5230,7,2,16,1
5231,7,2,17,1
5232,7,2,18,1
5233,7,2,19,5
5234,7,2,20,3
5235,7,2,21,3
5236,7,2,22,2
5237,7,2,23,1
5238,7,2,25,4
5239,7,2,27,1
5240,7,2,28,3
5241,7,2,30,2
5242,7,2,31,3
5243,7,2,32,1
5244,7,2,34,2
5245,7,2,35,2
5246,7,2,38,1
5247,7,2,39,2
5248,7,2,40,2
5249,7,2,41,2
5250,7,2,44,1
5251,7,2,45,3
5252,7,2,46,1
5253,7,2,47,1
5254,7,2,48,3
5255,7,2,49,3
5256,7,3,2,2
5257,7,3,3,2
5258,7,3,4,1
5259,7,3,5,3
5260,7,3,6,1
5261,7,3,7,1
5262,7,3,8,2
5263,7,3,9,1
5264,7,3,10,1
5265,7,3,11,1
5266,7,3,13,2
5267,7,3,15,2
5268,7,3,17,3
5269,7,3,18,3
5270,7,3,19,4
5271,7,3,20,3
5272,7,3,21,2
5273,7,3,23,3
5274,7,3,26,2
5275,7,3,27,1
5276,7,3,28,3
5277,7,3,29,3
5278,7,3,30,1
5279,7,3,31,4
5280,7,3,32,2
5281,7,3,33,7
5282,7,3,35,2
5283,7,3,36,1
5284,7,3,37,5
5285,7,3,38,1
5286,7,3,39,3
5287,7,3,40,5
5288,7,3,41,4
5289,7,3,42,5
5290,7,3,43,1
5291,7,3,45,2
5292,7,3,46,4
5293,7,3,47,4
5294,7,3,49,2
5295,7,4,1,1
5296,7,4,3,2
5297,7,4,4,2
5298,7,4,5,1
5299,7,4,6,1
5300,7,4,8,3
5301,7,4,9,2
5302,7,4,10,1
5303,7,4,11,2
5304,7,4,15,1
5305,7,4,16,2
5306,7,4,17,1
5307,7,4,18,4
5308,7,4,19,2
5309,7,4,20,3
5310,7,4,21,1
5311,7,4,22,1
5312,7,4,23,2
5313,7,4,24,3
5314,7,4,25,1
5315,7,4,27,1
5316,7,4,28,3
5317,7,4,31,1
5318,7,4,32,2
5319,7,4,33,1
5320,7,4,34,2
5321,7,4,35,1
5322,7,4,36,2
5323,7,4,37,2
5324,7,4,38,2
5325,7,4,40,1
5326,7,4,41,3
5327,7,4,42,4
5328,7,4,43,3
5329,7,4,46,1
5330,7,4,48,3
5331,7,5,1,1
5332,7,5,2,1
5333,7,5,3,2
5334,7,5,4,1
5335,7,5,6,5
5336,7,5,8,3
5337,7,5,10,1
5338,7,5,11,4
5339,7,5,12,1
5340,7,5,13,2
5341,7,5,14,2
5342,7,5,15,2
5343,7,5,16,4
5344,7,5,17,2
5345,7,5,18,1
5346,7,5,19,2
5347,7,5,21,3
5348,7,5,22,3
5349,7,5,23,5
5350,7,5,24,3
5351,7,5,25,5
5352,7,5,26,2
5353,7,5,27,3
5354,7,5,28,1
5355,7,5,29,5
5356,7,5,30,1
5357,7,5,31,5
5358,7,5,33,3
5359,7,5,34,4
5360,7,5,35,1
5361,7,5,36,4
5362,7,5,39,5
5363,7,5,40,1
5364,7,5,41,2
5365,7,5,42,1
5366,7,5,43,1
5367,7,5,44,2
5368,7,5,45,3
5369,7,5,46,2
5370,7,5,47,3
5371,7,5,48,3
5372,7,5,49,1
5373,7,6,1,3
5374,7,6,3,1
5375,7,6,4,1
5376,7,6,5,1
5377,7,6,6,1
5378,7,6,8,2
5379,7,6,10,3
5380,7,6,11,3
5381,7,6,12,2
5382,7,6,13,1
5383,7,6,15,3
5384,7,6,18,1
5385,7,6,19,2
5386,7,6,20,1
5387,7,6,21,1
5388,7,6,23,2
5389,7,6,24,4
5390,7,6,26,3
5391,7,6,27,3
5392,7,6,28,2
5393,7,6,29,1
